Earliest Specimen Collection Date,County,Deaths,Deaths (7-Day Average),7-Day Death Count,7-Day Death Rate,Date/Time Updated
2020-03-19 00:00:00,Statewide,19,16.57,116,1.52,2022-04-25 11:33:14
2020-03-20 00:00:00,Statewide,23,17.71,124,1.62,2022-04-25 11:33:14
2020-03-21 00:00:00,Statewide,18,18.57,130,1.7,2022-04-25 11:33:14
2020-03-22 00:00:00,Statewide,16,19.71,138,1.8,2022-04-25 11:33:14
2020-03-23 00:00:00,Statewide,24,19.86,139,1.82,2022-04-25 11:33:14
2020-03-24 00:00:00,Statewide,32,21.86,153,2,2022-04-25 11:33:14
2020-03-25 00:00:00,Statewide,35,23.86,167,2.18,2022-04-25 11:33:14
2020-03-26 00:00:00,Statewide,27,25,175,2.29,2022-04-25 11:33:14
2020-03-27 00:00:00,Statewide,34,26.57,186,2.43,2022-04-25 11:33:14
2020-03-28 00:00:00,Statewide,25,27.57,193,2.52,2022-04-25 11:33:14
2020-03-29 00:00:00,Statewide,27,29.14,204,2.66,2022-04-25 11:33:14
2020-03-30 00:00:00,Statewide,45,32.14,225,2.94,2022-04-25 11:33:14
2020-03-31 00:00:00,Statewide,29,31.71,222,2.9,2022-04-25 11:33:14
2020-04-01 00:00:00,Statewide,23,30,210,2.74,2022-04-25 11:33:14
2020-04-02 00:00:00,Statewide,14,28.14,197,2.57,2022-04-25 11:33:14
2020-04-03 00:00:00,Statewide,31,27.71,194,2.53,2022-04-25 11:33:14
2020-04-04 00:00:00,Statewide,11,25.71,180,2.35,2022-04-25 11:33:14
2020-04-05 00:00:00,Statewide,12,23.57,165,2.16,2022-04-25 11:33:14
2020-04-06 00:00:00,Statewide,19,19.86,139,1.82,2022-04-25 11:33:14
2020-04-07 00:00:00,Statewide,21,18.71,131,1.71,2022-04-25 11:33:14
2020-04-08 00:00:00,Statewide,25,19,133,1.74,2022-04-25 11:33:14
2020-04-09 00:00:00,Statewide,25,20.57,144,1.88,2022-04-25 11:33:14
2020-04-10 00:00:00,Statewide,13,18,126,1.65,2022-04-25 11:33:14
2020-04-11 00:00:00,Statewide,16,18.71,131,1.71,2022-04-25 11:33:14
2020-04-12 00:00:00,Statewide,7,18,126,1.65,2022-04-25 11:33:14
2020-04-13 00:00:00,Statewide,22,18.43,129,1.68,2022-04-25 11:33:14
2020-04-14 00:00:00,Statewide,22,18.57,130,1.7,2022-04-25 11:33:14
2020-04-15 00:00:00,Statewide,20,17.86,125,1.63,2022-04-25 11:33:14
2020-04-16 00:00:00,Statewide,28,18.29,128,1.67,2022-04-25 11:33:14
2020-04-17 00:00:00,Statewide,21,19.43,136,1.78,2022-04-25 11:33:14
2020-04-18 00:00:00,Statewide,7,18.14,127,1.66,2022-04-25 11:33:14
2020-04-19 00:00:00,Statewide,7,18.14,127,1.66,2022-04-25 11:33:14
2020-04-20 00:00:00,Statewide,16,17.29,121,1.58,2022-04-25 11:33:14
2020-04-21 00:00:00,Statewide,17,16.57,116,1.52,2022-04-25 11:33:14
2020-04-22 00:00:00,Statewide,13,15.57,109,1.42,2022-04-25 11:33:14
2020-04-23 00:00:00,Statewide,13,13.43,94,1.23,2022-04-25 11:33:14
2020-04-24 00:00:00,Statewide,13,12.29,86,1.12,2022-04-25 11:33:14
2020-04-25 00:00:00,Statewide,10,12.71,89,1.16,2022-04-25 11:33:14
2020-04-26 00:00:00,Statewide,10,13.14,92,1.2,2022-04-25 11:33:14
2020-04-27 00:00:00,Statewide,15,13,91,1.19,2022-04-25 11:33:14
2020-04-28 00:00:00,Statewide,11,12.14,85,1.11,2022-04-25 11:33:14
2020-04-29 00:00:00,Statewide,19,13,91,1.19,2022-04-25 11:33:14
2020-04-30 00:00:00,Statewide,8,12.29,86,1.12,2022-04-25 11:33:14
2020-05-01 00:00:00,Statewide,17,12.86,90,1.18,2022-04-25 11:33:14
2020-05-02 00:00:00,Statewide,8,12.57,88,1.15,2022-04-25 11:33:14
2020-05-03 00:00:00,Statewide,5,11.86,83,1.08,2022-04-25 11:33:14
2020-05-04 00:00:00,Statewide,13,11.57,81,1.06,2022-04-25 11:33:14
2020-05-05 00:00:00,Statewide,12,11.71,82,1.07,2022-04-25 11:33:14
2020-05-06 00:00:00,Statewide,15,11.14,78,1.02,2022-04-25 11:33:14
2020-05-07 00:00:00,Statewide,10,11.43,80,1.04,2022-04-25 11:33:14
2020-05-08 00:00:00,Statewide,3,9.43,66,0.86,2022-04-25 11:33:14
2020-05-09 00:00:00,Statewide,6,9.14,64,0.84,2022-04-25 11:33:14
2020-05-10 00:00:00,Statewide,5,9.14,64,0.84,2022-04-25 11:33:14
2020-05-11 00:00:00,Statewide,11,8.86,62,0.81,2022-04-25 11:33:14
2020-05-12 00:00:00,Statewide,5,7.86,55,0.72,2022-04-25 11:33:14
2020-05-13 00:00:00,Statewide,9,7,49,0.64,2022-04-25 11:33:14
2020-05-14 00:00:00,Statewide,6,6.43,45,0.59,2022-04-25 11:33:14
2020-05-15 00:00:00,Statewide,5,6.71,47,0.61,2022-04-25 11:33:14
2020-05-16 00:00:00,Statewide,4,6.43,45,0.59,2022-04-25 11:33:14
2020-05-17 00:00:00,Statewide,1,5.86,41,0.54,2022-04-25 11:33:14
2020-05-18 00:00:00,Statewide,6,5.14,36,0.47,2022-04-25 11:33:14
2020-05-19 00:00:00,Statewide,7,5.43,38,0.5,2022-04-25 11:33:14
2020-05-20 00:00:00,Statewide,4,4.71,33,0.43,2022-04-25 11:33:14
2020-05-21 00:00:00,Statewide,11,5.43,38,0.5,2022-04-25 11:33:14
2020-05-22 00:00:00,Statewide,4,5.29,37,0.48,2022-04-25 11:33:14
2020-05-23 00:00:00,Statewide,2,5,35,0.46,2022-04-25 11:33:14
2020-05-24 00:00:00,Statewide,0,4.86,34,0.44,2022-04-25 11:33:14
2020-05-25 00:00:00,Statewide,7,5,35,0.46,2022-04-25 11:33:14
2020-05-26 00:00:00,Statewide,12,5.71,40,0.52,2022-04-25 11:33:14
2020-05-27 00:00:00,Statewide,6,6,42,0.55,2022-04-25 11:33:14
2020-05-28 00:00:00,Statewide,3,4.86,34,0.44,2022-04-25 11:33:14
2020-05-29 00:00:00,Statewide,6,5.14,36,0.47,2022-04-25 11:33:14
2020-05-30 00:00:00,Statewide,5,5.57,39,0.51,2022-04-25 11:33:14
2020-05-31 00:00:00,Statewide,2,5.86,41,0.54,2022-04-25 11:33:14
2020-06-01 00:00:00,Statewide,10,6.29,44,0.57,2022-04-25 11:33:14
2020-06-02 00:00:00,Statewide,3,5,35,0.46,2022-04-25 11:33:14
2020-06-03 00:00:00,Statewide,6,5,35,0.46,2022-04-25 11:33:14
2020-06-04 00:00:00,Statewide,4,5.14,36,0.47,2022-04-25 11:33:14
2020-06-05 00:00:00,Statewide,6,5.14,36,0.47,2022-04-25 11:33:14
2020-06-06 00:00:00,Statewide,5,5.14,36,0.47,2022-04-25 11:33:14
2020-06-07 00:00:00,Statewide,3,5.29,37,0.48,2022-04-25 11:33:14
2020-06-08 00:00:00,Statewide,7,4.86,34,0.44,2022-04-25 11:33:14
